Nombre,CIF,Es Factura,Total,Invoice Num,Fecha,IVA 1,IVA 2
ticket1180.json,B18410209,No,1.9,serie/,12/05/2019,10,NaN
ticket1181.json,A13048434,No,6.6,NaN,15/05/2019,10,NaN
ticket1182.json,A82492729,No,7,NaN,15/05/2019,21,NaN
ticket1183.json,B18905182,No,66,comesales3,15/05/2019,NaN,NaN
ticket1184.json,A82492729,No,0,NaN,20/05/2019,21,NaN
ticket1185.json,NaN,No,44,NaN,20/03/2020,NaN,NaN
ticket1186.json,NaN,No,7.35,NaN,17/05/2019,NaN,NaN
ticket1187.json,NaN,No,0,NaN,19/05/2019,NaN,NaN
ticket1188.json,NaN,No,89.9,comesales4,Invalid date,10,NaN
ticket1189.json,NaN,No,7.15,NaN,Invalid date,NaN,NaN
ticket119.json,NaN,No,3,NaN,Invalid date,10,NaN
ticket1190.json,B18905182,No,9.9,comesales4,Invalid date,NaN,NaN
ticket1191.json,A82492729,No,0,NaN,22/05/2019,21,NaN
ticket1192.json,NaN,No,33,recibo2,20/03/2020,NaN,NaN
ticket1193.json,NaN,No,33,NaN,20/03/2020,NaN,NaN
ticket1195.json,NaN,No,8,227960,20/03/2020,4,NaN
ticket1196.json,NaN,No,3.9,***previo-***,23/05/2019,NaN,NaN
ticket1197.json,NaN,No,2.5,plazovoluc5diascoserve,Invalid date,NaN,NaN
ticket1198.json,B18905182,No,3.8,comesales1,Invalid date,NaN,NaN
ticket1199.json,A83052407,No,5,NaN,Invalid date,21,NaN
ticket12.json,NaN,No,8331,NaN,30/12/2019,NaN,NaN
ticket120.json,A60526928,No,8927,aparclimitado,19/12/2019,4,NaN
ticket1200.json,A82492729,No,7,NaN,30/04/2019,21,NaN
ticket1201.json,NaN,No,1.4,NaN,Invalid date,NaN,NaN
ticket1202.json,NaN,No,0,"•direcciócallesanjoaquín,14b,3°c,",08/07/1990,NaN,NaN
ticket1204.json,NaN,No,0,NaN,20/03/2020,NaN,NaN
ticket1205.json,NaN,No,21.8,NaN,20/03/2020,NaN,NaN
ticket1206.json,NaN,No,0,NaN,20/03/2020,NaN,NaN
ticket1207.json,B18905182,No,111,comesales5,Invalid date,NaN,NaN
ticket1208.json,NaN,No,0,colocarelformavisible,26/06/2019,NaN,NaN
ticket1209.json,NaN,No,0,colocarelformavisible,26/06/2019,NaN,NaN
ticket121.json,E40253932,No,1.3,fecha:tv-49977,19/12/2019,10,NaN
ticket1210.json,NaN,No,0,colocarelformavisible,26/06/2019,NaN,NaN
ticket1211.json,NaN,No,8422,NaN,26/06/2019,NaN,NaN
ticket1212.json,NaN,No,8422,NaN,26/06/2019,NaN,NaN
ticket1213.json,A82492729,No,0,NaN,26/06/2019,21,NaN
ticket1214.json,A82492729,No,0,NaN,27/06/2019,21,NaN
ticket1215.json,NaN,No,1.35,NaN,27/06/2019,NaN,NaN
ticket1216.json,NaN,No,8422,NaN,27/06/2019,NaN,NaN
ticket1217.json,NaN,No,24.7,773631,Invalid date,NaN,NaN
ticket1218.json,NaN,No,0,NaN,20/03/2020,NaN,NaN
ticket1219.json,NaN,No,4.6,NaN,27/06/2019,NaN,NaN
ticket122.json,NaN,Si,20.8,simplificada665837/001,04/12/2019,NaN,NaN
ticket1220.json,A82492729,No,0,NaN,27/06/2019,21,NaN
ticket1221.json,NaN,No,0.86,NaN,Invalid date,NaN,NaN
ticket1222.json,NaN,No,0.5,NaN,Invalid date,10,NaN
ticket1223.json,NaN,No,1.35,NaN,27/06/2019,NaN,NaN
ticket1224.json,NaN,No,0.1,NaN,Invalid date,10,NaN
ticket1225.json,B19589647,No,2.15,NaN,19/06/2019,21,NaN
ticket1226.json,NaN,No,8331,comesales5,26/06/2019,NaN,NaN
ticket1227.json,NaN,No,8331,NaN,26/06/2019,NaN,NaN
